"genotype","env","block","rep","yield","brix","fruit_wt","maturity"
"TOM-046","SITE-4","SITE-4-B3",3,109.47,4.8,83.6,109.1
"TOM-047","SITE-4","SITE-4-B3",3,93.75,5.61,65.5,111.6
"TOM-048","SITE-4","SITE-4-B3",3,103.98,5.03,81.5,112.6
"TOM-049","SITE-4","SITE-4-B3",3,83.45,5.23,78.8,111.6
"TOM-050","SITE-4","SITE-4-B3",3,114.31,4.83,85.9,119
"TOM-051","SITE-4","SITE-4-B3",3,100.57,5.33,68.9,111
"TOM-052","SITE-4","SITE-4-B3",3,67.17,5.81,77.1,112.1
"TOM-053","SITE-4","SITE-4-B3",3,113.8,4.17,58.2,102.5
"TOM-054","SITE-4","SITE-4-B3",3,109.06,4,77.9,110
"TOM-055","SITE-4","SITE-4-B3",3,106.77,4.54,82.6,109
"TOM-056","SITE-4","SITE-4-B3",3,102.74,4.94,71,104.3
"TOM-057","SITE-4","SITE-4-B3",3,121.66,4.32,63.1,114.2
"TOM-058","SITE-4","SITE-4-B3",3,112.21,5.5,81.7,111.1
"TOM-059","SITE-4","SITE-4-B3",3,71.44,5.07,75.7,113.4
"TOM-060","SITE-4","SITE-4-B3",3,117.02,5.76,72.8,107.9
